----------------------------------------------------------------------------------------------------------------
Search Criteria:,
"     Quick Search Text:  RM-17-026"
----------------------------------------------------------------------------------------------------------------
"NIH Spending Categorization","Project Terms","Project Title","Public Health Relevance","Administering IC","Application ID","Award Notice Date","FOA","Project Number","Type","Activity","IC","Serial Number","Support Year","Suffix","Program Official Information","Project Start Date","Project End Date","Study Section","Subproject Number","Contact PI Person ID","Contact PI / Project Leader","Other PI or Project Leader(s)","Congressional District","Department","DUNS Number","FIPS","Latitude","Longitude","Organization ID (IPF)","Organization Name","Organization City","Organization State","Organization Type","Organization Zip","Organization Country","ARRA Indicator","Budget Start Date","Budget End Date","CFDA Code","Funding Mechanism","Fiscal Year","Total Cost","Total Cost (Sub Projects)","Funding IC(s)","Direct Cost IC","InDirect Cost IC","NIH COVID-19 Response","Total Cost IC",
"Networking and Information Technology R&D (NITRD); Precision Medicine; Sleep Research","Address;Architecture;Atlases;Automobile Driving;Award;Biological Sciences;Blood;California;Cells;Chicago;Clinical Data;Clinical Management;Complex;Computer software;Costs and Benefits;Creativeness;Data;Data Analyses;Data Science;Data Set;Ecosystem;Encapsulated;Ensure;Environment;Funding;Genome;Genotype-Tissue Expression Project;Goals;Heart;Human;Hybrids;Image;Individual;Institutes;Investigation;Lung;Medical Records;Metals;Modeling;Molecular Profiling;Participant;Philosophy;Production;Readability;Running;Scientist;Sleep;Standardization;Trans-Omics for Precision Medicine;United States National Institutes of Health;Universities;Vision;brain health;cloud based;cohesion;cohort;data format;design;genome sequencing;high resolution imaging;human disease;insight;interoperability;model organisms databases;open source;programs;software development;working group","The Integration of Trans-omics for Precision Medicine (TOPMED) and Other Heart, Lung, Blood and Sleep (HLBS) Data Sets with the Data Commons","n/a","NHLBI","10001102","9/28/2019 12:00:00 AM","RFA-RM-17-026","3OT3HL142481-01S2","3","OT3","HL","142481","01","S","KALTMAN, JONATHAN R","9/30/2017 12:00:00 AM","9/28/2020 12:00:00 AM","Data Coordination, Mapping, and Modeling[DCMM]"," ","12500314","PATEN, BENEDICT ","GROSSMAN, ROBERT L.; PHILIPPAKIS, ANTHONY ","20","Unavailable","125084723","US","36.97756","-122.055836","577510","UNIVERSITY OF CALIFORNIA SANTA CRUZ","SANTA CRUZ","CA","Domestic Higher Education","950641077","UNITED STATES","N","9/27/2019 12:00:00 AM","9/28/2020 12:00:00 AM","837","Other","2019","7700000"," ","NHLBI","7700000"," "," ","7700000",
"Bioengineering; Networking and Information Technology R&D","Bioinformatics;Biological;Chickens;Cloud Computing;Collaborations;Communities;Community Developments;Data;Data Analyses;Data Science;Development;Documentation;Exercise;Feedback;Future;Goals;Investments;Mining;Modernization;Outcome;Phase;Recording of previous events;Reproducibility;Research;Research Infrastructure;Salmon;Software Engineering;Technology;Training;Variant;design;egg;experience;genomic data;member;open data;open source;tool","Tools and Workflows for Mining Genomic Data on Many Clouds","n/a","OD","9672004","4/14/2018 12:00:00 AM","RFA-RM-17-026","3OT3OD025465-01S1","3","OT3","OD","025465","01","S","KUTKAT, LORA","9/30/2017 12:00:00 AM","3/31/2019 12:00:00 AM","Data Coordination, Mapping, and Modeling[DCMM]"," ","8406715","BROWN, C. TITUS","Not Applicable","03","VETERINARY SCIENCES","047120084","US","38.543675","-121.729989","577503","UNIVERSITY OF CALIFORNIA AT DAVIS","DAVIS","CA","SCHOOLS OF VETERINARY MEDICINE","956186153","UNITED STATES","N","9/30/2017 12:00:00 AM","3/31/2019 12:00:00 AM","310","Other","2018","1316021"," ","OD","1316021"," "," ","1316021",
"No NIH Category available","Attention;Awareness;Communities;Computer Systems;Consensus;Data;Data Analyses;Ecosystem;Effectiveness;Elements;Ensure;Fostering;Funding;Genotype-Tissue Expression Project;Goals;Incubators;Individual;Maryland;Metadata;Modification;Monitor;Pattern;Phase;Research;Resources;Role;Site;System;Systems Analysis;Testing;Time;Training;Trans-Omics for Precision Medicine;United States National Institutes of Health;Universities;Work;comparative;data access;data resource;design;digital;experience;interest;member;model organisms databases;outreach;portability;provider networks;response;success;tool;web portal","University of Maryland NIH Data Commons Facilitation Center","n/a","OD","9783992","9/25/2018 12:00:00 AM","RFA-RM-17-026","3OT3OD025459-01S2","3","OT3","OD","025459","01","S","KINSINGER, CHRISTOPHER","9/30/2017 12:00:00 AM","12/31/2019 12:00:00 AM","Data Coordination, Mapping, and Modeling[DCMM]"," ","8229804","WHITE, OWEN R","Not Applicable","07","PUBLIC HEALTH & PREV MEDICINE","188435911","US","39.291412","-76.624753","820104","UNIVERSITY OF MARYLAND BALTIMORE","BALTIMORE","MD","SCHOOLS OF MEDICINE","212011508","UNITED STATES","N","9/30/2017 12:00:00 AM","12/31/2019 12:00:00 AM","310","Other","2018","4348317"," ","OD","4348317"," "," ","4348317",
"No NIH Category available","Attention;Awareness;Communities;Computer Systems;Consensus;Data;Data Analyses;Ecosystem;Effectiveness;Elements;Ensure;Fostering;Funding;Genotype-Tissue Expression Project;Goals;Incubators;Individual;Maryland;Metadata;Modification;Monitor;Pattern;Phase;Research;Resources;Role;Site;System;Systems Analysis;Testing;Time;Training;Trans-Omics for Precision Medicine;United States National Institutes of Health;Universities;Work;comparative;data access;data resource;design;digital;experience;interest;member;model organisms databases;outreach;portability;provider networks;success;tool;web portal","University of Maryland NIH Data Commons Facilitation Center","n/a","OD","9672035","4/5/2018 12:00:00 AM","RFA-RM-17-026","3OT3OD025459-01S1","3","OT3","OD","025459","01","S","KINSINGER, CHRISTOPHER","9/30/2017 12:00:00 AM","12/31/2019 12:00:00 AM","Data Coordination, Mapping, and Modeling[DCMM]"," ","8229804","WHITE, OWEN R","Not Applicable","07","PUBLIC HEALTH & PREV MEDICINE","188435911","US","39.291412","-76.624753","820104","UNIVERSITY OF MARYLAND BALTIMORE","BALTIMORE","MD","SCHOOLS OF MEDICINE","212011508","UNITED STATES","N","9/30/2017 12:00:00 AM","12/31/2019 12:00:00 AM","310","Other","2018","371033"," ","OD","371033"," "," ","371033",
"Bioengineering; Networking and Information Technology R&D","Accountability;Artificial Intelligence;Big Data;Biomedical Research;Cloud Computing;Communities;Community Practice;Computer software;Data;Data Analytics;Data Provenance;Data Set;Ecosystem;Environment;FAIR principles;Genotype-Tissue Expression Project;Graph;Guidelines;Hybrids;Learning;Massachusetts;Metadata;Modeling;Nature;Outcomes Research;Phase;Process;Production;Publications;Publishing;Recommendation;Registries;Reproducibility;Research;Research Personnel;Resolution;Services;Technology;Trans-Omics for Precision Medicine;United States National Institutes of Health;base;cloud platform;computing resources;digital;digital ecosystem;experience;interoperability;open source;repository;software repository;tool","Towards a FAIR Digital Ecosystem in the Cloud","n/a","OD","9672008","4/5/2018 12:00:00 AM","RFA-RM-17-026","3OT3OD025456-01S1","3","OT3","OD","025456","01","S","KUTKAT, LORA","1/1/2018 12:00:00 AM","11/30/2018 12:00:00 AM","Data Coordination, Mapping, and Modeling[DCMM]"," ","12037964","CROSAS, MERCE ","Not Applicable","05","SOCIAL SCIENCES","082359691","US","42.373148","-71.118329","3212901","HARVARD UNIVERSITY","CAMBRIDGE","MA","SCHOOLS OF ARTS AND SCIENCES","021385319","UNITED STATES","N","1/1/2018 12:00:00 AM","11/30/2018 12:00:00 AM","310","Other","2018","347221"," ","OD","347221"," "," ","347221",
"Bioengineering; Networking and Information Technology R&D","Accountability;Artificial Intelligence;Big Data;Biomedical Research;Cloud Computing;Communities;Community Practice;Computer software;Data;Data Analytics;Data Provenance;Data Set;Ecosystem;Environment;FAIR principles;Genotype-Tissue Expression Project;Graph;Guidelines;Hybrids;Learning;Massachusetts;Metadata;Modeling;Nature;Outcomes Research;Phase;Process;Production;Publications;Publishing;Recommendation;Registries;Reproducibility;Research;Research Personnel;Resolution;Services;Technology;Trans-Omics for Precision Medicine;United States National Institutes of Health;base;cloud platform;computing resources;digital;digital ecosystem;experience;interoperability;open source;repository;software repository;tool","Towards a FAIR Digital Ecosystem in the Cloud","n/a","OD","9559873","12/22/2017 12:00:00 AM","RFA-RM-17-026","1OT3OD025456-01","1","OT3","OD","025456","01"," ","KUTKAT, LORA","1/1/2018 12:00:00 AM","11/30/2018 12:00:00 AM","Data Coordination, Mapping, and Modeling[DCMM]"," ","12037964","CROSAS, MERCE ","Not Applicable","05","SOCIAL SCIENCES","082359691","US","42.373148","-71.118329","3212901","HARVARD UNIVERSITY","CAMBRIDGE","MA","SCHOOLS OF ARTS AND SCIENCES","021385319","UNITED STATES","N","1/1/2018 12:00:00 AM","11/30/2018 12:00:00 AM","310","Other","2018","300000"," ","OD","300000"," "," ","300000",
"Networking and Information Technology R&D","Address;Agreement;Architecture;Cardiovascular Diseases;Collaborations;Computer software;Consent;Consent Forms;Consultations;Data;Data Set;Ensure;Environment;Genetic study;Guidelines;Individual;Institution;Intellectual Property;Metadata;Policies;Privacy;Process;Provider;Publications;Reporting;Research;Research Ethics;Research Infrastructure;Research Personnel;Research Project Grants;Resources;Secure;Security;System;Testing;Trans-Omics for Precision Medicine;Vision;design;digital;flexibility;indexing;interoperability;privacy protection;programs;search engine;statistics;tool","CALIFORNIA: Cloud-agnostic Architecture to Locate Indexed FAIR Objects and safely Reuse them in New Integrated Analyses","n/a","OD","9672007","6/26/2018 12:00:00 AM","RFA-RM-17-026","3OT3OD025462-01S1","3","OT3","OD","025462","01","S","KUTKAT, LORA","9/30/2017 12:00:00 AM","11/30/2018 12:00:00 AM","Data Coordination, Mapping, and Modeling[DCMM]"," ","1900244","OHNO-MACHADO, LUCILA ","FARCAS, CLAUDIU C; JIANG, XIAOQIAN ; SANSONE, SUSANNA-ASSUNTA ; XU, HUA ","52","INTERNAL MEDICINE/MEDICINE","804355790","US","32.881785","-117.236973","577507","UNIVERSITY OF CALIFORNIA, SAN DIEGO","LA JOLLA","CA","SCHOOLS OF MEDICINE","920930934","UNITED STATES","N","9/30/2017 12:00:00 AM","11/30/2018 12:00:00 AM","310","Other","2018","636551"," ","OD","636551"," "," ","636551",
"Networking and Information Technology R&D","Address;Advocate;Asorbicap;Biomedical Research;Boston;Cloud Computing;Collaborations;Communities;Computer software;Data;Data Analyses;Development;Ecosystem;Ensure;FAIR principles;Foundations;Generations;Goals;Government;Guidelines;Health;International;Letters;Love;Methodology;Methods;Output;Patients;Privacy;Process;Property;Protocols documentation;Provider;Research Infrastructure;Research Institute;Research Personnel;Resolution;Resources;Science;Secure;Security;Solid;Technology;United States National Institutes of Health;Veterans;Vision;Work;computer infrastructure;digital;experience;improved;indexing;interoperability;member;multidisciplinary;novel strategies;novel therapeutics;open source;programs;success;tool","FAIR Data to Drive CURES","n/a","OD","9672003","4/5/2018 12:00:00 AM","RFA-RM-17-026","3OT3OD025463-01S1","3","OT3","OD","025463","01","S","KUTKAT, LORA","9/30/2017 12:00:00 AM","11/30/2018 12:00:00 AM","Data Coordination, Mapping, and Modeling[DCMM]"," ","10416590","DAVIS-DUSENBERY, BRANDI NICOLE","Not Applicable","07","Unavailable","040525064","US"," "," ","10034307","SEVEN BRIDGES GENOMICS, INC.","CHARLESTOWN","MA","Domestic For-Profits","02129","UNITED STATES","N","9/30/2017 12:00:00 AM","11/30/2018 12:00:00 AM","310","Other","2018","575823"," ","OD","575823"," "," ","575823",
"Cardiovascular; Heart Disease; Lung; Networking and Information Technology R&D; Precision Medicine; Prevention; Sleep Research","Big Data;Biomedical Research;Blood;Communities;Data;Data Set;Ecosystem;Environment;Heart;Heart Diseases;Hematological Disease;Institutes;Life Cycle Stages;Lung;Lung diseases;Mediation;National Heart, Lung, and Blood Institute;Prevention strategy;Productivity;Research;Research Personnel;Resources;Secure;Sleep;Sleep Disorders;Therapeutic;Trans-Omics for Precision Medicine;United States National Institutes of Health;base;cloud based;crosslink;digital;empowerment;novel diagnostics;tool","The Integration of Trans-omics for Precision Medicine (TOPMED) and Other Heart, Lung, Blood and Sleep (HLBS) Data Sets with the Data Commons","n/a","NHLBI","9789516","9/24/2018 12:00:00 AM","RFA-RM-17-026","3OT3HL142478-01S1","3","OT3","HL","142478","01","S","KALTMAN, JONATHAN R","9/30/2017 12:00:00 AM","9/29/2020 12:00:00 AM","Data Coordination, Mapping, and Modeling[DCMM]"," ","10416590","DAVIS-DUSENBERY, BRANDI NICOLE","Not Applicable","07","Unavailable","040525064","US"," "," ","10034307","SEVEN BRIDGES GENOMICS, INC.","CHARLESTOWN","MA","Domestic For-Profits","02129","UNITED STATES","N","9/30/2017 12:00:00 AM","9/29/2020 12:00:00 AM","837","Other","2018","1885000"," ","NHLBI","1885000"," "," ","1885000",
"Precision Medicine","Address;Architecture;Area;Attention;Big Data to Knowledge;Biological;Clinical;Collaborations;Data;Data Analyses;Databases;Diagnostic;Disease;FAIR principles;Genomics;Genotype-Tissue Expression Project;Health Insurance Portability and Accountability Act;International;Internet;Language;Modality;Patients;Phase;Population Heterogeneity;Privatization;Protocols documentation;Reproducibility;Research;Research Infrastructure;Research Personnel;Risk Reduction;Running;Science;Site;Standardization;Technology;Testing;Therapeutic;Trans-Omics for Precision Medicine;United States National Institutes of Health;Vendor;Visual;Work;analytical tool;base;ethnic difference;multimodality;open source;precision medicine;resilience;response;social;tool","Patient-Centric Information Commons under FAIR Principles (PIC-FAIR)","n/a","OD","9672009","4/4/2018 12:00:00 AM","RFA-RM-17-026","3OT3OD025466-01S1","3","OT3","OD","025466","01","S","KUTKAT, LORA","9/30/2017 12:00:00 AM","11/30/2018 12:00:00 AM","Data Coordination, Mapping, and Modeling[DCMM]"," ","1884776","KOHANE, ISAAC S.","AVILLACH, PAUL ","07","MISCELLANEOUS","047006379","US","42.335814","-71.105033","3212902","HARVARD MEDICAL SCHOOL","BOSTON","MA","SCHOOLS OF MEDICINE","021201616","UNITED STATES","N","9/30/2017 12:00:00 AM","11/30/2018 12:00:00 AM","310","Other","2018","560349"," ","OD","560349"," "," ","560349",
